PDB codes,0,1,2,3,4,5,6,7,8,9,Output
"2la5 , 2kh9",-1.522633432509413,-1.741623915970531,-0.2077196005526899,0.23739410367285638,0.953394110855586,0.9526628883382678,-1.1485899771214598,1.0981060955709108,0.41847372858709697,-0.22110240446941387,1
"4hid , 1zzi",0.1786284183135417,-1.3820440001395766,-0.006100637708100032,-0.442276395482682,0.09516243564681368,0.27336372182349333,-0.09467793963014771,0.5769608064202816,-0.3746286364306631,-0.010057092979541464,1
"5wzk , 2leb",-0.5227823910286533,0.1941941339045549,0.5221350751117069,-1.6807185636820412,0.5545119127430508,-0.8824383076216382,-0.06300219597977146,-1.660302423025988,0.1885759976878708,0.43025482189458003,1
"1u6p , 1wwg",-2.409915154446815,0.9921556820508554,-0.249411890015145,0.37769399711797075,-1.7190525897112539,0.19819310891381905,-0.452452881059233,-0.18525849078045759,2.918536401607038,0.5132024759210198,1
"4hj7 , 1rkj",0.27910669307417113,-1.1151891595080317,-0.1248183663202844,-0.7826414753440027,0.4707262516051839,-0.22520002964418384,0.2500883491874806,-0.3877066593875856,-0.3559390107320328,0.1797190309199699,1
"5ytt , 1s40",1.2591667558011987,-1.4218887179724249,-0.17948344344054254,-0.6577762305018896,2.3702936902898886,2.210830930832687,-0.39989572292984343,1.051620417084258,-0.5612859324775934,0.20449548348122887,0
"2gkd , 2err",0.5927697486751748,-2.712069909719378,-0.6217757073813458,0.32231442511316877,-0.6890555688174037,-0.41931601921599915,-0.7365962601923798,1.0221150807154291,0.1260738216230624,0.13776863756507426,0
"2lec , 2leb",0.46541786278898856,-0.9589798344862913,-0.2031227309789308,-0.962943244481553,0.8698038868386481,0.6984826455394076,-0.4742857016112987,-1.527172889385407,-0.39317442132689456,0.45593373968994133,1
"1il2 , 3moj",-1.6216118386163285,1.8310470622327104,5.769538739349299,-3.631531739545587,-0.8991519735097743,-0.8034234840173573,-0.38277448805762854,0.4369289916904862,-0.2817130777182778,0.46428720044079397,0
"1wwd , 1je8",5.563997926083151,2.415263413628112,3.2552892152032196,3.0951807930791277,1.8483758743213883,-0.147685875297198,-0.2504198391527362,0.4982776540676191,-0.14594531668926378,-0.8279971273586605,0
"1jbr , 5ytv",-2.1162371481079956,-1.4146646347522251,-0.6011790588673032,0.6498279137160974,0.6090221435812087,0.9200706795043259,0.748993047632219,-0.05300008604328632,0.4330245640302389,-0.4872532840095814,1
"1je8 , 5wzj",-2.655967312311444,5.46806638169368,-4.186367006374497,1.7873852598646038,0.14057298861768164,1.8816458447516737,-0.7505299229292023,-0.7645070956435364,-0.8176660433079944,0.06757789942833765,1
"5ytv , 5wwe",0.6143614079600545,-2.8750089578335585,-0.050693048653263,0.03932811436104433,-1.2334011467613735,0.6847494893415539,-0.24529386600051442,0.1523346349663399,-0.4719649669718677,-0.056659655035230766,0
"5wzj , 2b6g",-2.6785885079579574,-0.27672126837158306,1.7707502081479647,-0.8574388182691146,-1.3697228677049555,-0.026323304778962255,0.4568880381843243,-1.2529256470719645,0.08512680690858429,0.10302607107004186,1
"1s03 , 4hj8",-2.2441411395423265,1.4439695258785725,-1.0792999442431592,0.6195070830603544,-0.8136241162626886,-0.15565343864674971,0.27430878668258807,-0.4093636303883396,0.09409754609329263,0.37036075028396703,0
