Ro,Theta,Phi,3,4,5,6,7,8
4.796401844685243,0.3543054421873379,1.3518979198347028,11.117,-8.016,-6.173,-385.91,28.58,1.0
2.267500792193908,-1.517458411598645,0.8096822571462288,8.398,0.964,10.065,-385.77,24.74,1.0
3.7077983972163318,0.9782589799864434,0.8835109687328153,8.964,-1.275,-9.609,-385.56,36.11,1.0
5.584745803713899,0.3559829435215972,1.619733033920499,15.526,12.143,10.661,-385.35,35.01,1.0
3.380928745862592,1.211541392126765,0.8371500789949454,9.238,2.058,-2.472,-385.23,28.9,1.0
4.568648412495756,0.5438580496436544,1.421329867700537,4.04,5.178,10.84,-385.2,32.44,1.0
2.7180603290949965,0.7745517196517177,1.5080597366350321,-8.415,0.379,-10.697,-384.25,42.17,1.0
3.3836519291883436,0.47718098282626986,1.316944717390931,5.445,2.053,-10.668,-384.04,41.4,1.0
7.060793936902563,0.25633849253692,0.5550972540847012,6.814,5.691,1.488,-383.78,40.97,1.0
8.156598103590737,0.3242792611854372,0.8402627421858962,-12.461,11.476,5.427,-383.59,41.16,1.0
8.220585238813596,0.328019235814339,0.7528671546796736,14.607,11.12,13.085,-383.47,34.63,1.0
3.4185639601592945,0.892925337209958,0.620903398022835,11.567,-8.777,1.415,-383.24,32.26,1.0
6.366839606193954,0.23772914882193913,1.324858373427771,5.99,-1.628,11.097,-382.9,23.12,1.0
5.38963855237065,0.3859906455506093,1.2383545058984269,7.486,-1.005,-2.55,-382.68,24.72,1.0
8.278430195423526,0.33571525914088096,0.7493875647064088,15.021,11.33,12.776,-382.68,34.36,1.0
3.8592870434576385,-1.471241755906991,0.197913205618837,5.349,-3.525,-0.383,-382.63,36.23,1.0
3.9334346063586723,1.5048456677311484,0.7616757699736155,6.545,5.092,-1.665,-382.29,23.14,1.0
8.214643285468943,0.3559309398272631,0.7743706917968532,11.459,14.117,12.258,-382.2,36.46,1.0
2.211951792896943,-1.4708096755864486,1.0299179790375221,9.839,2.27,8.788,-382.17,25.23,1.0
7.723673053088149,0.8240094743563735,0.6751398904926237,6.661,4.762,-1.214,-381.69,23.41,1.0
5.722045496201511,0.34588563404471845,1.6372743225055546,12.322,12.765,12.546,-381.38,35.8,1.0
7.269566349934499,0.46088717254560535,0.5638152220404057,9.278,1.288,-7.214,-380.78,37.61,1.0
7.190749595327318,0.1874408642248751,0.5790714519173497,6.629,5.186,4.471,-380.7,40.65,1.0
